"Month","Stage","CompletedCount"
"Apr 2020","Stage 1 (Landing Page)","12319"
"Apr 2020","Stage 2 (Registration Clicked)","205"
"Apr 2020","Stage 3 (Acknowledgements)","198"
"Apr 2020","Stage 4 (Subscription Selected)","156"
"Apr 2020","Stage 5 (Billing Information)","22"
"Apr 2020","Stage 6 (Email Confirmed)","20"
"Mar 2020","Stage 1 (Landing Page)","7651"
"Mar 2020","Stage 2 (Registration Clicked)","144"
"Mar 2020","Stage 3 (Acknowledgements)","137"
"Mar 2020","Stage 4 (Subscription Selected)","84"
"Mar 2020","Stage 5 (Billing Information)","15"
"Mar 2020","Stage 6 (Email Confirmed)","14"